id,date,store_nbr,family,sales,onpromotion
2966432,2017-07-27,41,PREPARED FOODS,53.714,0
2966440,2017-07-27,42,BOOKS,0.0,0
2966439,2017-07-27,42,BEVERAGES,1940.0,22
2966438,2017-07-27,42,BEAUTY,2.0,0
2966437,2017-07-27,42,BABY CARE,0.0,0
2966436,2017-07-27,42,AUTOMOTIVE,1.0,0
2966435,2017-07-27,41,SEAFOOD,5.0,0
2966441,2017-07-27,42,BREAD/BAKERY,383.141,0
2966434,2017-07-27,41,SCHOOL AND OFFICE SUPPLIES,1.0,0
2966433,2017-07-27,41,PRODUCE,1424.628,13
2966431,2017-07-27,41,POULTRY,123.972,1
2966425,2017-07-27,41,"LIQUOR,WINE,BEER",200.0,4
2966429,2017-07-27,41,PET SUPPLIES,10.0,0
2966428,2017-07-27,41,PERSONAL CARE,220.0,5
2966427,2017-07-27,41,MEATS,159.969,0
2966426,2017-07-27,41,MAGAZINES,8.0,0
2966424,2017-07-27,41,LINGERIE,20.0,0
2966423,2017-07-27,41,LAWN AND GARDEN,6.0,0
2966422,2017-07-27,41,LADIESWEAR,20.0,0
2966421,2017-07-27,41,HOME CARE,175.0,6
2966420,2017-07-27,41,HOME APPLIANCES,0.0,0
2966419,2017-07-27,41,HOME AND KITCHEN II,25.0,0
2966442,2017-07-27,42,CELEBRATION,21.0,0
2966430,2017-07-27,41,PLAYERS AND ELECTRONICS,9.0,0
2966443,2017-07-27,42,CLEANING,605.0,11
2966470,2017-07-27,43,BABY CARE,1.0,0
2966445,2017-07-27,42,DELI,140.038,6
2966469,2017-07-27,43,AUTOMOTIVE,4.0,0
2966468,2017-07-27,42,SEAFOOD,10.044,0
2966467,2017-07-27,42,SCHOOL AND OFFICE SUPPLIES,0.0,0
2966466,2017-07-27,42,PRODUCE,2007.087,11
2966465,2017-07-27,42,PREPARED FOODS,59.899002,0
2966464,2017-07-27,42,POULTRY,206.584,0
2966463,2017-07-27,42,PLAYERS AND ELECTRONICS,18.0,0
2966462,2017-07-27,42,PET SUPPLIES,10.0,0
2966461,2017-07-27,42,PERSONAL CARE,154.0,5
2966460,2017-07-27,42,MEATS,235.931,0
2966459,2017-07-27,42,MAGAZINES,7.0,0
2966444,2017-07-27,42,DAIRY,685.0,6
2966458,2017-07-27,42,"LIQUOR,WINE,BEER",66.0,3
2966456,2017-07-27,42,LAWN AND GARDEN,25.0,0
2966455,2017-07-27,42,LADIESWEAR,21.0,0
2966454,2017-07-27,42,HOME CARE,168.0,6
2966453,2017-07-27,42,HOME APPLIANCES,0.0,0
2966452,2017-07-27,42,HOME AND KITCHEN II,13.0,0
2966451,2017-07-27,42,HOME AND KITCHEN I,16.0,0
2966450,2017-07-27,42,HARDWARE,1.0,0
2966449,2017-07-27,42,GROCERY II,19.0,0
2966448,2017-07-27,42,GROCERY I,2656.0,60
2966447,2017-07-27,42,FROZEN FOODS,97.95,1
2966446,2017-07-27,42,EGGS,110.0,0
2966457,2017-07-27,42,LINGERIE,3.0,0
2966418,2017-07-27,41,HOME AND KITCHEN I,13.0,4
2966364,2017-07-27,4,PLAYERS AND ELECTRONICS,13.0,0
2966416,2017-07-27,41,GROCERY II,15.0,0
2966387,2017-07-27,40,HOME APPLIANCES,0.0,0
2966386,2017-07-27,40,HOME AND KITCHEN II,14.0,0
2966385,2017-07-27,40,HOME AND KITCHEN I,23.0,1
2966384,2017-07-27,40,HARDWARE,5.0,0
2966383,2017-07-27,40,GROCERY II,6.0,0
2966382,2017-07-27,40,GROCERY I,4182.0,60
2966381,2017-07-27,40,FROZEN FOODS,83.0,1
2966380,2017-07-27,40,EGGS,101.0,1
2966379,2017-07-27,40,DELI,202.0,7
2966378,2017-07-27,40,DAIRY,506.0,7
2966377,2017-07-27,40,CLEANING,2920.0,19
2966388,2017-07-27,40,HOME CARE,279.0,5
2966376,2017-07-27,40,CELEBRATION,3.0,0
2966374,2017-07-27,40,BOOKS,0.0,0
2966373,2017-07-27,40,BEVERAGES,2736.0,25
2966372,2017-07-27,40,BEAUTY,1.0,0
2966371,2017-07-27,40,BABY CARE,1.0,0
2966370,2017-07-27,40,AUTOMOTIVE,5.0,0
2966369,2017-07-27,4,SEAFOOD,16.821,0
2966368,2017-07-27,4,SCHOOL AND OFFICE SUPPLIES,0.0,0
2966367,2017-07-27,4,PRODUCE,1563.699,12
2966366,2017-07-27,4,PREPARED FOODS,30.480999,0
2966365,2017-07-27,4,POULTRY,238.416,0
2966471,2017-07-27,43,BEAUTY,1.0,0
2966375,2017-07-27,40,BREAD/BAKERY,314.0,4
2966417,2017-07-27,41,HARDWARE,1.0,0
2966389,2017-07-27,40,LADIESWEAR,0.0,0
2966391,2017-07-27,40,LINGERIE,7.0,0
2966415,2017-07-27,41,GROCERY I,3389.0,51
2966414,2017-07-27,41,FROZEN FOODS,153.838,0
2966413,2017-07-27,41,EGGS,71.0,0
2966412,2017-07-27,41,DELI,165.357,8
2966411,2017-07-27,41,DAIRY,451.0,3
2966410,2017-07-27,41,CLEANING,2386.0,16
2966409,2017-07-27,41,CELEBRATION,10.0,0
2966408,2017-07-27,41,BREAD/BAKERY,332.344,0
2966407,2017-07-27,41,BOOKS,0.0,0
2966406,2017-07-27,41,BEVERAGES,1743.0,21
2966405,2017-07-27,41,BEAUTY,6.0,0
2966390,2017-07-27,40,LAWN AND GARDEN,0.0,0
2966404,2017-07-27,41,BABY CARE,0.0,0
2966402,2017-07-27,40,SEAFOOD,3.0,0
2966401,2017-07-27,40,SCHOOL AND OFFICE SUPPLIES,0.0,0
2966400,2017-07-27,40,PRODUCE,717.232,6
2966399,2017-07-27,40,PREPARED FOODS,37.0,0
2966398,2017-07-27,40,POULTRY,107.51,0
2966397,2017-07-27,40,PLAYERS AND ELECTRONICS,6.0,0
2966396,2017-07-27,40,PET SUPPLIES,0.0,0
2966395,2017-07-27,40,PERSONAL CARE,250.0,5
2966394,2017-07-27,40,MEATS,175.984,20
2966393,2017-07-27,40,MAGAZINES,2.0,0
2966392,2017-07-27,40,"LIQUOR,WINE,BEER",28.0,1
2966403,2017-07-27,41,AUTOMOTIVE,3.0,0
2966472,2017-07-27,43,BEVERAGES,4741.0,26
2966527,2017-07-27,44,PERSONAL CARE,367.0,9
2966474,2017-07-27,43,BREAD/BAKERY,504.0,3
2966554,2017-07-27,45,LADIESWEAR,28.0,0
2966553,2017-07-27,45,HOME CARE,548.0,10
2966552,2017-07-27,45,HOME APPLIANCES,0.0,0
2966551,2017-07-27,45,HOME AND KITCHEN II,59.0,1
2966550,2017-07-27,45,HOME AND KITCHEN I,54.0,3
2966549,2017-07-27,45,HARDWARE,1.0,0
2966548,2017-07-27,45,GROCERY II,139.0,1
2966547,2017-07-27,45,GROCERY I,8061.0,73
2966546,2017-07-27,45,FROZEN FOODS,238.339,1
2966545,2017-07-27,45,EGGS,288.0,0
2966544,2017-07-27,45,DELI,476.45,11
2966543,2017-07-27,45,DAIRY,1597.0,10
2966542,2017-07-27,45,CLEANING,2115.0,24
2966541,2017-07-27,45,CELEBRATION,43.0,0
2966540,2017-07-27,45,BREAD/BAKERY,867.648,0
2966539,2017-07-27,45,BOOKS,0.0,0
2966538,2017-07-27,45,BEVERAGES,7308.0,31
2966537,2017-07-27,45,BEAUTY,13.0,0
2966536,2017-07-27,45,BABY CARE,0.0,0
2966535,2017-07-27,45,AUTOMOTIVE,12.0,0
2966534,2017-07-27,44,SEAFOOD,63.3,0
2966533,2017-07-27,44,SCHOOL AND OFFICE SUPPLIES,1.0,1
2966532,2017-07-27,44,PRODUCE,6695.348,15
2966555,2017-07-27,45,LAWN AND GARDEN,38.0,0
2966556,2017-07-27,45,LINGERIE,4.0,0
2966557,2017-07-27,45,"LIQUOR,WINE,BEER",199.0,5
2966558,2017-07-27,45,MAGAZINES,15.0,0
2966582,2017-07-27,46,HARDWARE,3.0,0
2966581,2017-07-27,46,GROCERY II,59.0,1
2966580,2017-07-27,46,GROCERY I,7063.0,69
2966579,2017-07-27,46,FROZEN FOODS,247.877,1
2966578,2017-07-27,46,EGGS,96.0,0
2966577,2017-07-27,46,DELI,574.788,10
2966576,2017-07-27,46,DAIRY,1127.0,10
2966575,2017-07-27,46,CLEANING,1896.0,24
2966574,2017-07-27,46,CELEBRATION,18.0,0
2966573,2017-07-27,46,BREAD/BAKERY,767.0,0
2966572,2017-07-27,46,BOOKS,1.0,0
2966531,2017-07-27,44,PREPARED FOODS,278.568,0
2966571,2017-07-27,46,BEVERAGES,4103.0,27
2966569,2017-07-27,46,BABY CARE,0.0,0
2966568,2017-07-27,46,AUTOMOTIVE,10.0,0
2966567,2017-07-27,45,SEAFOOD,31.205,0
2966566,2017-07-27,45,SCHOOL AND OFFICE SUPPLIES,111.0,10
2966565,2017-07-27,45,PRODUCE,4518.368,15
2966564,2017-07-27,45,PREPARED FOODS,226.95801,0
2966563,2017-07-27,45,POULTRY,744.341,0
2966562,2017-07-27,45,PLAYERS AND ELECTRONICS,25.0,0
2966561,2017-07-27,45,PET SUPPLIES,33.0,0
2966560,2017-07-27,45,PERSONAL CARE,485.0,10
2966559,2017-07-27,45,MEATS,786.96,0
2966570,2017-07-27,46,BEAUTY,16.0,0
2966530,2017-07-27,44,POULTRY,898.319,0
2966529,2017-07-27,44,PLAYERS AND ELECTRONICS,25.0,0
2966528,2017-07-27,44,PET SUPPLIES,31.0,0
2966498,2017-07-27,43,PREPARED FOODS,155.987,1
2966497,2017-07-27,43,POULTRY,184.857,0
2966496,2017-07-27,43,PLAYERS AND ELECTRONICS,8.0,0
2966495,2017-07-27,43,PET SUPPLIES,3.0,0
2966494,2017-07-27,43,PERSONAL CARE,200.0,6
2966493,2017-07-27,43,MEATS,265.723,20
2966492,2017-07-27,43,MAGAZINES,0.0,0
2966491,2017-07-27,43,"LIQUOR,WINE,BEER",45.0,1
2966490,2017-07-27,43,LINGERIE,0.0,0
2966489,2017-07-27,43,LAWN AND GARDEN,7.0,0
2966488,2017-07-27,43,LADIESWEAR,0.0,0
2966499,2017-07-27,43,PRODUCE,1026.047,7
2966487,2017-07-27,43,HOME CARE,200.0,5
2966485,2017-07-27,43,HOME AND KITCHEN II,13.0,0
2966484,2017-07-27,43,HOME AND KITCHEN I,12.0,2
2966483,2017-07-27,43,HARDWARE,2.0,0
2966482,2017-07-27,43,GROCERY II,6.0,0
2966481,2017-07-27,43,GROCERY I,3900.398,49
2966480,2017-07-27,43,FROZEN FOODS,52.0,1
2966479,2017-07-27,43,EGGS,190.0,1
2966478,2017-07-27,43,DELI,214.831,5
2966477,2017-07-27,43,DAIRY,500.0,5
2966476,2017-07-27,43,CLEANING,1094.0,21
2966475,2017-07-27,43,CELEBRATION,9.0,0
2966486,2017-07-27,43,HOME APPLIANCES,1.0,0
2966473,2017-07-27,43,BOOKS,0.0,0
2966500,2017-07-27,43,SCHOOL AND OFFICE SUPPLIES,4.0,0
2966502,2017-07-27,44,AUTOMOTIVE,20.0,0
2966526,2017-07-27,44,MEATS,646.646,0
2966525,2017-07-27,44,MAGAZINES,26.0,0
2966524,2017-07-27,44,"LIQUOR,WINE,BEER",341.0,4
2966523,2017-07-27,44,LINGERIE,11.0,0
2966522,2017-07-27,44,LAWN AND GARDEN,22.0,0
2966521,2017-07-27,44,LADIESWEAR,18.0,0
2966520,2017-07-27,44,HOME CARE,573.0,13
2966519,2017-07-27,44,HOME APPLIANCES,0.0,0
2966518,2017-07-27,44,HOME AND KITCHEN II,126.0,1
2966517,2017-07-27,44,HOME AND KITCHEN I,90.0,6
2966516,2017-07-27,44,HARDWARE,5.0,0
2966501,2017-07-27,43,SEAFOOD,1.0,0
2966515,2017-07-27,44,GROCERY II,96.0,1
2966513,2017-07-27,44,FROZEN FOODS,432.437,1
2966512,2017-07-27,44,EGGS,455.0,0
2966511,2017-07-27,44,DELI,410.908,10
2966510,2017-07-27,44,DAIRY,1791.0,10
2966509,2017-07-27,44,CLEANING,1886.0,23
2966508,2017-07-27,44,CELEBRATION,19.0,0
2966507,2017-07-27,44,BREAD/BAKERY,1141.322,0
2966506,2017-07-27,44,BOOKS,0.0,0
2966505,2017-07-27,44,BEVERAGES,7400.0,26
2966504,2017-07-27,44,BEAUTY,11.0,0
2966503,2017-07-27,44,BABY CARE,0.0,0
2966514,2017-07-27,44,GROCERY I,7171.0,76
2966363,2017-07-27,4,PET SUPPLIES,2.0,0
2966141,2017-07-27,34,BEAUTY,1.0,0
2966361,2017-07-27,4,MEATS,467.099,0
2966220,2017-07-27,36,HOME AND KITCHEN I,14.0,1
2966219,2017-07-27,36,HARDWARE,0.0,0
2966218,2017-07-27,36,GROCERY II,3.0,0
2966217,2017-07-27,36,GROCERY I,3143.867,62
2966216,2017-07-27,36,FROZEN FOODS,49.225,2
2966215,2017-07-27,36,EGGS,200.0,1
2966214,2017-07-27,36,DELI,146.215,7
2966213,2017-07-27,36,DAIRY,386.0,4
2966212,2017-07-27,36,CLEANING,624.0,22
2966211,2017-07-27,36,CELEBRATION,6.0,0
2966210,2017-07-27,36,BREAD/BAKERY,392.0,4
2966221,2017-07-27,36,HOME AND KITCHEN II,3.0,0
2966209,2017-07-27,36,BOOKS,0.0,0
2966207,2017-07-27,36,BEAUTY,3.0,0
2966206,2017-07-27,36,BABY CARE,0.0,0
2966205,2017-07-27,36,AUTOMOTIVE,3.0,0
2966204,2017-07-27,35,SEAFOOD,0.0,0
2966203,2017-07-27,35,SCHOOL AND OFFICE SUPPLIES,0.0,0
2966202,2017-07-27,35,PRODUCE,272.564,2
2966201,2017-07-27,35,PREPARED FOODS,12.0,0
2966200,2017-07-27,35,POULTRY,45.379,0
2966199,2017-07-27,35,PLAYERS AND ELECTRONICS,2.0,0
2966198,2017-07-27,35,PET SUPPLIES,1.0,0
2966197,2017-07-27,35,PERSONAL CARE,52.0,4
2966208,2017-07-27,36,BEVERAGES,2871.0,25
2966196,2017-07-27,35,MEATS,271.76498,20
2966222,2017-07-27,36,HOME APPLIANCES,0.0,0
2966224,2017-07-27,36,LADIESWEAR,0.0,0
2966248,2017-07-27,37,EGGS,121.0,0
2966247,2017-07-27,37,DELI,175.99,7
2966246,2017-07-27,37,DAIRY,749.0,4
2966245,2017-07-27,37,CLEANING,886.0,18
2966244,2017-07-27,37,CELEBRATION,3.0,0
2966243,2017-07-27,37,BREAD/BAKERY,545.8,0
2966242,2017-07-27,37,BOOKS,0.0,0
2966241,2017-07-27,37,BEVERAGES,2352.0,27
2966240,2017-07-27,37,BEAUTY,2.0,0
2966239,2017-07-27,37,BABY CARE,0.0,0
2966238,2017-07-27,37,AUTOMOTIVE,2.0,0
2966223,2017-07-27,36,HOME CARE,204.0,5
2966237,2017-07-27,36,SEAFOOD,0.0,0
2966235,2017-07-27,36,PRODUCE,906.589,6
2966234,2017-07-27,36,PREPARED FOODS,25.175,0
2966233,2017-07-27,36,POULTRY,134.886,0
2966232,2017-07-27,36,PLAYERS AND ELECTRONICS,2.0,0
2966231,2017-07-27,36,PET SUPPLIES,0.0,0
2966230,2017-07-27,36,PERSONAL CARE,153.0,7
2966229,2017-07-27,36,MEATS,388.593,19
2966228,2017-07-27,36,MAGAZINES,0.0,0
2966227,2017-07-27,36,"LIQUOR,WINE,BEER",20.0,1
2966226,2017-07-27,36,LINGERIE,1.0,0
2966225,2017-07-27,36,LAWN AND GARDEN,17.0,0
2966236,2017-07-27,36,SCHOOL AND OFFICE SUPPLIES,3.0,0
2966249,2017-07-27,37,FROZEN FOODS,133.336,1
2966195,2017-07-27,35,MAGAZINES,0.0,0
2966193,2017-07-27,35,LINGERIE,0.0,0
2966164,2017-07-27,34,PERSONAL CARE,205.0,5
2966163,2017-07-27,34,MEATS,234.087,23
2966162,2017-07-27,34,MAGAZINES,2.0,0
2966161,2017-07-27,34,"LIQUOR,WINE,BEER",52.0,1
2966160,2017-07-27,34,LINGERIE,3.0,0
2966159,2017-07-27,34,LAWN AND GARDEN,7.0,0
2966158,2017-07-27,34,LADIESWEAR,3.0,0
2966157,2017-07-27,34,HOME CARE,166.0,7
2966156,2017-07-27,34,HOME APPLIANCES,0.0,0
2966155,2017-07-27,34,HOME AND KITCHEN II,27.0,0
2966154,2017-07-27,34,HOME AND KITCHEN I,18.0,3
2966165,2017-07-27,34,PET SUPPLIES,4.0,0
2966153,2017-07-27,34,HARDWARE,6.0,0
2966151,2017-07-27,34,GROCERY I,3830.203,52
2966150,2017-07-27,34,FROZEN FOODS,58.144,0
2966149,2017-07-27,34,EGGS,52.0,1
2966148,2017-07-27,34,DELI,197.133,6
2966147,2017-07-27,34,DAIRY,491.0,4
2966146,2017-07-27,34,CLEANING,611.0,15
2966145,2017-07-27,34,CELEBRATION,11.0,0
2966144,2017-07-27,34,BREAD/BAKERY,550.0,4
2966143,2017-07-27,34,BOOKS,0.0,0
2966142,2017-07-27,34,BEVERAGES,2026.0,24
2966583,2017-07-27,46,HOME AND KITCHEN I,31.0,4
2966152,2017-07-27,34,GROCERY II,8.0,0
2966194,2017-07-27,35,"LIQUOR,WINE,BEER",3.0,0
2966166,2017-07-27,34,PLAYERS AND ELECTRONICS,6.0,0
2966168,2017-07-27,34,PREPARED FOODS,26.0,0
2966192,2017-07-27,35,LAWN AND GARDEN,0.0,0
2966191,2017-07-27,35,LADIESWEAR,0.0,0
2966190,2017-07-27,35,HOME CARE,65.0,5
2966189,2017-07-27,35,HOME APPLIANCES,0.0,0
2966188,2017-07-27,35,HOME AND KITCHEN II,5.0,0
2966187,2017-07-27,35,HOME AND KITCHEN I,8.0,2
2966186,2017-07-27,35,HARDWARE,1.0,0
2966185,2017-07-27,35,GROCERY II,6.0,0
2966184,2017-07-27,35,GROCERY I,1100.0,39
2966183,2017-07-27,35,FROZEN FOODS,34.0,1
2966182,2017-07-27,35,EGGS,133.0,1
2966167,2017-07-27,34,POULTRY,119.929,1
2966181,2017-07-27,35,DELI,46.0,1
2966179,2017-07-27,35,CLEANING,233.0,13
2966178,2017-07-27,35,CELEBRATION,7.0,0
2966177,2017-07-27,35,BREAD/BAKERY,55.0,1
2966176,2017-07-27,35,BOOKS,0.0,0
2966175,2017-07-27,35,BEVERAGES,926.0,16
2966174,2017-07-27,35,BEAUTY,0.0,0
2966173,2017-07-27,35,BABY CARE,0.0,0
2966172,2017-07-27,35,AUTOMOTIVE,0.0,0
2966171,2017-07-27,34,SEAFOOD,2.0,0
